# Descriptor for a set of images used in benchmarking tests. Distances vary from 0.5 meters to 3.0 meters.
# Horizontal angles vary from -60 to 60 degrees and vertical angles vary from -30 to 30 degrees.
# The dataset is applied to the following algorithms for benchmarking:
#   QR detection
#   LandoltC detection
#   Hazmat detection
#   Hole detection
#   Victim detection
# The dataset contains data for 215 images. There are no missing values.

imageName, algorithm, distance, horAngle, verAngle
frame1.png, QR, 0.5, 0, 0 
frame2.png, QR, 0.5, -30, 0 
frame3.png, QR, 0.5, -60, 0 
frame4.png, QR, 0.5, 30, 0  
frame5.png, QR, 0.5, 60, 0
frame6.png, QR, 0.5, 0, 30 
frame7.png, QR, 0.5, 0, -30
frame8.png, QR, 1.0, 0, 0 
frame9.png, QR, 1.0, 30, 0
frame10.png, QR, 1.0, -30, 0 
frame11.png, QR, 1.0, -60, 0 
frame12.png, QR, 1.0, 60, 0 
frame13.png, QR, 1.0, 0, 30 
frame14.png, QR, 1.0, 0, 30 
frame15.png, QR, 1.0, 0, -30 
frame16.png, QR, 2.0, 0, 0
frame17.png, QR, 2.0, 30, 0 
frame18.png, QR, 2.0, -30, 0
frame19.png, QR, 2.0, 60, 0
frame20.png, QR, 2.0, -60, 0  
frame22.png, QR, 2.0, 0, 30  
frame23.png, QR, 2.0, 0, -30  
frame24.png, QR, 3.0, 0, 0 
frame25.png, QR, 3.0, 30, 0 
frame26.png, QR, 3.0, -30, 0 
frame27.png, QR, 3.0, 60, 0 
frame28.png, QR, 3.0, -60, 0 
frame29.png, QR, 3.0, 0, -30
frame30.png, QR, 3.0, 0, 30 
frame31.png, QR, 1.0, 30, 30 
frame32.png, QR, 1.0, -30, 30 
frame33.png, QR, 1.0, 60, 30 
frame34.png, QR, 1.0, -60, 30 
frame35.png, QR, 1.0, 30, -30 
frame36.png, QR, 1.0, -30, -30 
frame37.png, QR, 1.0, 60, -30 
frame38.png, QR, 1.0, -60, -30 
frame39.png, QR, 0.5, 30, 30 
frame40.png, QR, 0.5, -30, 30 
frame41.png, QR, 0.5, 60, 30 
frame42.png, QR, 0.5, -60, 30 
frame43.png, QR, 0.5, 30, -30 
frame44.png, QR, 0.5, -30, -30 
frame45.png, QR, 0.5, 60, -30 
frame46.png, QR, 0.5, -60, -30 
frame47.png, LandoltC, 0.5, 0, 0
frame48.png, LandoltC, 0.5, 30, 0
frame49.png, LandoltC, 0.5, -30, 0
frame50.png, LandoltC, 0.5, 60, 0
frame51.png, LandoltC, 0.5, -60, 0
frame52.png, LandoltC, 0.5, 0, 30 
frame53.png, LandoltC, 0.5, 0, -30
frame54.png, LandoltC, 0.5, 30, 30
frame55.png, LandoltC, 0.5, -30, 30
frame56.png, LandoltC, 0.5, 60, 30
frame57.png, LandoltC, 0.5, -60, 30
frame58.png, LandoltC, 0.5, 30, -30
frame59.png, LandoltC, 0.5, -30, -30
frame60.png, LandoltC, 0.5, 60, -30
frame61.png, LandoltC, 0.5, -60, -30
frame62.png, LandoltC, 1.0, 0, 0
frame63.png, LandoltC, 1.0, 30, 0
frame64.png, LandoltC, 1.0, -30, 0
frame65.png, LandoltC, 1.0, 60, 0
frame66.png, LandoltC, 1.0, -60, 0
frame67.png, LandoltC, 1.0, 0, 30 ?
frame68.png, LandoltC, 1.0, 0, 30
frame69.png, LandoltC, 1.0, 30, 30
frame70.png, LandoltC, 1.0, -30, 30
frame71.png, LandoltC, 1.0, 60, 30
frame72.png, LandoltC, 1.0, -60, 30
frame73.png, LandoltC, 1.0, 0, -30
frame74.png, LandoltC, 1.0, 30, -30
frame75.png, LandoltC, 1.0, -30, -30
frame76.png, LandoltC, 1.0, -30, -30
frame77.png, LandoltC, 1.0, 60, -30
frame78.png, LandoltC, 1.0, -60, -30
frame79.png, LandoltC, 2.0, 0, 0
frame80.png, LandoltC, 2.0, 30, 0
frame81.png, LandoltC, 2.0, -30, 0
frame82.png, LandoltC, 2.0, 60, 0
frame83.png, LandoltC, 2.0, -60, 0
frame84.png, LandoltC, 2.0, 0, 30
frame85.png, LandoltC, 2.0, 30, 30
frame86.png, LandoltC, 2.0, -30, 30
frame87.png, LandoltC, 2.0, 60, 30
frame88.png, LandoltC, 2.0, -60, 30
frame89.png, LandoltC, 2.0, 0, -30
frame90.png, LandoltC, 2.0, 0, -30
frame91.png, LandoltC, 2.0, 30, -30
frame92.png, LandoltC, 2.0, -30, -30
frame93.png, LandoltC, 2.0, 60, -30
frame94.png, LandoltC, 2.0, -60, -30
frame95.png, LandoltC, 3.0, 0, 0
frame96.png, LandoltC, 3.0, 30, 0
frame97.png, LandoltC, 3.0, -30, 0
frame98.png, LandoltC, 3.0, 60, 0
frame99.png, LandoltC, 3.0, -60, 0
frame100.png, LandoltC, 3.0, 0, 30
